Dependent,Independent,Lag,PACF,Significant
JKM,NBP,1,-0.0767934279634587,TRUE
JKM,NBP,2,-0.020003933742907806,FALSE
JKM,NBP,3,-0.02153578976620124,FALSE
JKM,NBP,4,-0.009261780096235149,FALSE
JKM,NBP,5,-4.979661587424202e-4,FALSE
JKM,NBP,6,-0.002168396176696872,FALSE
JKM,NBP,7,-0.006844684712655981,FALSE
JKM,NBP,8,-0.027000008023516042,FALSE
JKM,NBP,9,-0.02154228590635143,FALSE
JKM,NBP,10,-0.01779392047126749,FALSE
JKM,NBP,11,-0.040266465515117186,TRUE
JKM,NBP,12,-0.04230151115272993,TRUE
JKM,NBP,13,-0.008290210305441581,FALSE
JKM,NBP,14,-0.002778373288356686,FALSE
JKM,NBP,15,0.014241441956883958,FALSE
JKM,NBP,16,-0.0023618116933145452,FALSE
JKM,NBP,17,0.004797445676486868,FALSE
JKM,NBP,18,0.0218586691048216,FALSE
JKM,NBP,19,0.049886085901752315,TRUE
JKM,NBP,20,-0.09463564782829362,TRUE
JKM,NBP,21,0.04916421944631236,TRUE
JKM,NBP,22,0.05927872784360803,TRUE
JKM,NBP,23,0.010129029969398328,FALSE
JKM,NBP,24,-0.019902072314038757,FALSE
JKM,NBP,25,0.014862647678156954,FALSE
JKM,NBP,26,-0.005322206753863553,FALSE
JKM,NBP,27,-0.017202345984163446,FALSE
JKM,NBP,28,0.036496539901450194,FALSE
JKM,NBP,29,-0.018163100473483636,FALSE
JKM,NBP,30,-0.03345067341758911,FALSE
JKM,NBP,31,-0.016548601359799093,FALSE
JKM,NBP,32,0.0018702966234319545,FALSE
JKM,NBP,33,-0.0042096684310108335,FALSE
JKM,NBP,34,0.0022871366608772205,FALSE
JKM,NBP,35,-0.006752189351526384,FALSE
JKM,TTF,1,-0.07158768853665348,TRUE
JKM,TTF,2,-0.02462054287063485,FALSE
JKM,TTF,3,-0.0301619428814957,FALSE
JKM,TTF,4,-0.0051271832548513575,FALSE
JKM,TTF,5,0.005583162378430653,FALSE
JKM,TTF,6,0.011964516681124922,FALSE
JKM,TTF,7,-0.012703748254841005,FALSE
JKM,TTF,8,-0.028733962903286673,FALSE
JKM,TTF,9,-0.019577155403701363,FALSE
JKM,TTF,10,-0.01762720976346855,FALSE
JKM,TTF,11,-0.04096119514658716,TRUE
JKM,TTF,12,-0.03807827984929023,FALSE
JKM,TTF,13,-0.0034788317602321627,FALSE
JKM,TTF,14,-0.00371847083830638,FALSE
JKM,TTF,15,0.018145990635483146,FALSE
JKM,TTF,16,-0.00890355417984106,FALSE
JKM,TTF,17,0.0011375886621273392,FALSE
JKM,TTF,18,0.015094735337949982,FALSE
JKM,TTF,19,0.06533175261953385,TRUE
JKM,TTF,20,-0.07199358559326999,TRUE
JKM,TTF,21,0.022665294442584322,FALSE
JKM,TTF,22,0.062018093256414254,TRUE
JKM,TTF,23,0.03693935559541073,FALSE
JKM,TTF,24,-0.011508491466683557,FALSE
JKM,TTF,25,0.007389441379823152,FALSE
JKM,TTF,26,0.010420024163513477,FALSE
JKM,TTF,27,-0.01375632379143188,FALSE
JKM,TTF,28,0.028315213741744477,FALSE
JKM,TTF,29,-0.016927497167611383,FALSE
JKM,TTF,30,-0.023402836716043752,FALSE
JKM,TTF,31,-0.02308826866093844,FALSE
JKM,TTF,32,-0.0031668982595586172,FALSE
JKM,TTF,33,-0.014817624223764718,FALSE
JKM,TTF,34,-0.0035528223687707303,FALSE
JKM,TTF,35,-0.012608332762670694,FALSE
JKM,HH,1,-0.03674602776126907,FALSE
JKM,HH,2,-0.016640799160740675,FALSE
JKM,HH,3,-0.014583765734970923,FALSE
JKM,HH,4,0.023942602250808426,FALSE
JKM,HH,5,0.015451194301534759,FALSE
JKM,HH,6,0.0029537904863633745,FALSE
JKM,HH,7,0.013029722897583492,FALSE
JKM,HH,8,-0.008939533277523063,FALSE
JKM,HH,9,0.03144709354843265,FALSE
JKM,HH,10,0.028771502891752843,FALSE
JKM,HH,11,-0.01869134970433341,FALSE
JKM,HH,12,-0.006815817747920891,FALSE
JKM,HH,13,0.018109763386381116,FALSE
JKM,HH,14,-0.0034857180623363553,FALSE
JKM,HH,15,0.011763506056575331,FALSE
JKM,HH,16,-0.017861891048180017,FALSE
JKM,HH,17,-0.006132823507341097,FALSE
JKM,HH,18,0.0028595516072889944,FALSE
JKM,HH,19,0.06704726111316392,TRUE
JKM,HH,20,-0.04062719811421053,TRUE
JKM,HH,21,0.03277455083912158,FALSE
JKM,HH,22,0.07544971859661423,TRUE
JKM,HH,23,0.02859547113324363,FALSE
JKM,HH,24,-0.012657629933889435,FALSE
JKM,HH,25,-0.008963115911365251,FALSE
JKM,HH,26,-0.02034585834160386,FALSE
JKM,HH,27,-0.0015921088460559376,FALSE
JKM,HH,28,0.012965166821534561,FALSE
JKM,HH,29,-0.04841440227910155,TRUE
JKM,HH,30,-0.02136402894536962,FALSE
JKM,HH,31,-0.033018851713870576,FALSE
JKM,HH,32,-0.027508921918387434,FALSE
JKM,HH,33,-0.020227703981550233,FALSE
JKM,HH,34,0.006254175422578322,FALSE
JKM,HH,35,-0.002420608544223513,FALSE
NBP,JKM,1,-0.0633514228862552,TRUE
NBP,JKM,2,-0.0037317731559099467,FALSE
NBP,JKM,3,-0.009599860789781051,FALSE
NBP,JKM,4,-0.012634901266032622,FALSE
NBP,JKM,5,-0.05378244779433139,TRUE
